index,raw_payload,rejection_reason
65909,"{""hotel"": ""City Hotel"", ""is_canceled"": ""1"", ""lead_time"": ""0"", ""arrival_date_year"": ""2017"", ""arrival_date_month"": ""April"", ""arrival_date_week_number"": ""15"", ""arrival_date_day_of_month"": ""10"", ""stays_in_weekend_nights"": ""0"", ""stays_in_week_nights"": ""0"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""SC"", ""country"": null, ""market_segment"": ""Complementary"", ""distribution_channel"": ""Corporate"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""P"", ""assigned_room_type"": ""P"", ""booking_changes"": ""0"", ""deposit_type"": ""No Deposit"", ""agent"": null, ""company"": ""279"", ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Canceled"", ""reservation_status_date"": ""2017-04-10""}",No guests in booking
65910,"{""hotel"": ""City Hotel"", ""is_canceled"": ""1"", ""lead_time"": ""0"", ""arrival_date_year"": ""2017"", ""arrival_date_month"": ""April"", ""arrival_date_week_number"": ""15"", ""arrival_date_day_of_month"": ""10"", ""stays_in_weekend_nights"": ""0"", ""stays_in_week_nights"": ""0"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""SC"", ""country"": null, ""market_segment"": ""Complementary"", ""distribution_channel"": ""Corporate"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""P"", ""assigned_room_type"": ""P"", ""booking_changes"": ""0"", ""deposit_type"": ""No Deposit"", ""agent"": null, ""company"": ""279"", ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Canceled"", ""reservation_status_date"": ""2017-04-10""}",No guests in booking
69668,"{""hotel"": ""City Hotel"", ""is_canceled"": ""1"", ""lead_time"": ""434"", ""arrival_date_year"": ""2017"", ""arrival_date_month"": ""June"", ""arrival_date_week_number"": ""22"", ""arrival_date_day_of_month"": ""3"", ""stays_in_weekend_nights"": ""2"", ""stays_in_week_nights"": ""1"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""HB"", ""country"": ""PRT"", ""market_segment"": ""Groups"", ""distribution_channel"": ""TA/TO"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""A"", ""assigned_room_type"": ""A"", ""booking_changes"": ""1"", ""deposit_type"": ""No Deposit"", ""agent"": ""229"", ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient-Party"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""1"", ""reservation_status"": ""Canceled"", ""reservation_status_date"": ""2017-06-03""}",No guests in booking
72967,"{""hotel"": ""City Hotel"", ""is_canceled"": ""1"", ""lead_time"": ""0"", ""arrival_date_year"": ""2017"", ""arrival_date_month"": ""August"", ""arrival_date_week_number"": ""32"", ""arrival_date_day_of_month"": ""11"", ""stays_in_weekend_nights"": ""0"", ""stays_in_week_nights"": ""0"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""SC"", ""country"": ""PRT"", ""market_segment"": ""Online TA"", ""distribution_channel"": ""TA/TO"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""P"", ""assigned_room_type"": ""P"", ""booking_changes"": ""0"", ""deposit_type"": ""No Deposit"", ""agent"": null, ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Canceled"", ""reservation_status_date"": ""2017-08-11""}",No guests in booking
72968,"{""hotel"": ""City Hotel"", ""is_canceled"": ""1"", ""lead_time"": ""0"", ""arrival_date_year"": ""2017"", ""arrival_date_month"": ""August"", ""arrival_date_week_number"": ""32"", ""arrival_date_day_of_month"": ""11"", ""stays_in_weekend_nights"": ""0"", ""stays_in_week_nights"": ""0"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""SC"", ""country"": ""PRT"", ""market_segment"": ""Online TA"", ""distribution_channel"": ""TA/TO"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""P"", ""assigned_room_type"": ""P"", ""booking_changes"": ""0"", ""deposit_type"": ""No Deposit"", ""agent"": null, ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Canceled"", ""reservation_status_date"": ""2017-08-11""}",No guests in booking
76620,"{""hotel"": ""City Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""110"", ""arrival_date_year"": ""2015"", ""arrival_date_month"": ""July"", ""arrival_date_week_number"": ""30"", ""arrival_date_day_of_month"": ""25"", ""stays_in_weekend_nights"": ""2"", ""stays_in_week_nights"": ""2"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""HB"", ""country"": ""ITA"", ""market_segment"": ""Offline TA/TO"", ""distribution_channel"": ""TA/TO"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""A"", ""assigned_room_type"": ""A"", ""booking_changes"": ""2"", ""deposit_type"": ""No Deposit"", ""agent"": ""17"", ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient-Party"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2015-07-29""}",No guests in booking
76985,"{""hotel"": ""City Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""0"", ""arrival_date_year"": ""2015"", ""arrival_date_month"": ""August"", ""arrival_date_week_number"": ""33"", ""arrival_date_day_of_month"": ""11"", ""stays_in_weekend_nights"": ""2"", ""stays_in_week_nights"": ""10"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""SC"", ""country"": ""ITA"", ""market_segment"": ""Corporate"", ""distribution_channel"": ""Corporate"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""A"", ""assigned_room_type"": ""K"", ""booking_changes"": ""11"", ""deposit_type"": ""No Deposit"", ""agent"": null, ""company"": ""38"", ""days_in_waiting_list"": ""0"", ""customer_type"": ""Group"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2015-08-23""}",No guests in booking
77001,"{""hotel"": ""City Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""0"", ""arrival_date_year"": ""2015"", ""arrival_date_month"": ""August"", ""arrival_date_week_number"": ""35"", ""arrival_date_day_of_month"": ""26"", ""stays_in_weekend_nights"": ""0"", ""stays_in_week_nights"": ""1"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""BB"", ""country"": ""PRT"", ""market_segment"": ""Online TA"", ""distribution_channel"": ""TA/TO"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""F"", ""assigned_room_type"": ""B"", ""booking_changes"": ""0"", ""deposit_type"": ""No Deposit"", ""agent"": null, ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Contract"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""2"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2015-08-27""}",No guests in booking
77003,"{""hotel"": ""City Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""0"", ""arrival_date_year"": ""2015"", ""arrival_date_month"": ""August"", ""arrival_date_week_number"": ""35"", ""arrival_date_day_of_month"": ""27"", ""stays_in_weekend_nights"": ""0"", ""stays_in_week_nights"": ""1"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""BB"", ""country"": ""PRT"", ""market_segment"": ""Online TA"", ""distribution_channel"": ""Direct"", ""is_repeated_guest"": ""1"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""F"", ""assigned_room_type"": ""B"", ""booking_changes"": ""0"", ""deposit_type"": ""No Deposit"", ""agent"": null, ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Contract"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""2"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2015-08-28""}",No guests in booking
77447,"{""hotel"": ""City Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""0"", ""arrival_date_year"": ""2015"", ""arrival_date_month"": ""October"", ""arrival_date_week_number"": ""42"", ""arrival_date_day_of_month"": ""15"", ""stays_in_weekend_nights"": ""0"", ""stays_in_week_nights"": ""0"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""BB"", ""country"": ""PRT"", ""market_segment"": ""Direct"", ""distribution_channel"": ""Direct"", ""is_repeated_guest"": ""1"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""1"", ""reserved_room_type"": ""A"", ""assigned_room_type"": ""E"", ""booking_changes"": ""0"", ""deposit_type"": ""No Deposit"", ""agent"": null, ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2015-10-15""}",No guests in booking
77998,"{""hotel"": ""City Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""3"", ""arrival_date_year"": ""2015"", ""arrival_date_month"": ""September"", ""arrival_date_week_number"": ""39"", ""arrival_date_day_of_month"": ""24"", ""stays_in_weekend_nights"": ""2"", ""stays_in_week_nights"": ""4"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""SC"", ""country"": ""ITA"", ""market_segment"": ""Groups"", ""distribution_channel"": ""TA/TO"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""A"", ""assigned_room_type"": ""D"", ""booking_changes"": ""0"", ""deposit_type"": ""No Deposit"", ""agent"": ""1"", ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient-Party"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2015-09-30""}",No guests in booking
78257,"{""hotel"": ""City Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""1"", ""arrival_date_year"": ""2015"", ""arrival_date_month"": ""October"", ""arrival_date_week_number"": ""40"", ""arrival_date_day_of_month"": ""3"", ""stays_in_weekend_nights"": ""2"", ""stays_in_week_nights"": ""2"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""SC"", ""country"": ""PRT"", ""market_segment"": ""Groups"", ""distribution_channel"": ""TA/TO"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""A"", ""assigned_room_type"": ""K"", ""booking_changes"": ""1"", ""deposit_type"": ""No Deposit"", ""agent"": ""1"", ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient-Party"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2015-10-07""}",No guests in booking
78586,"{""hotel"": ""City Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""0"", ""arrival_date_year"": ""2015"", ""arrival_date_month"": ""November"", ""arrival_date_week_number"": ""49"", ""arrival_date_day_of_month"": ""30"", ""stays_in_weekend_nights"": ""1"", ""stays_in_week_nights"": ""2"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""SC"", ""country"": ""PRT"", ""market_segment"": ""Corporate"", ""distribution_channel"": ""Corporate"", ""is_repeated_guest"": ""1"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""1"", ""reserved_room_type"": ""A"", ""assigned_room_type"": ""A"", ""booking_changes"": ""2"", ""deposit_type"": ""No Deposit"", ""agent"": null, ""company"": ""40"", ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient"", ""adr"": ""6"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2015-12-03""}",No guests in booking
78672,"{""hotel"": ""City Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""0"", ""arrival_date_year"": ""2015"", ""arrival_date_month"": ""October"", ""arrival_date_week_number"": ""42"", ""arrival_date_day_of_month"": ""14"", ""stays_in_weekend_nights"": ""0"", ""stays_in_week_nights"": ""1"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""BB"", ""country"": ""PRT"", ""market_segment"": ""Direct"", ""distribution_channel"": ""Corporate"", ""is_repeated_guest"": ""1"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""A"", ""assigned_room_type"": ""B"", ""booking_changes"": ""1"", ""deposit_type"": ""No Deposit"", ""agent"": null, ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2015-10-15""}",No guests in booking
79077,"{""hotel"": ""City Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""64"", ""arrival_date_year"": ""2015"", ""arrival_date_month"": ""October"", ""arrival_date_week_number"": ""42"", ""arrival_date_day_of_month"": ""16"", ""stays_in_weekend_nights"": ""2"", ""stays_in_week_nights"": ""3"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""SC"", ""country"": ""FRA"", ""market_segment"": ""Offline TA/TO"", ""distribution_channel"": ""TA/TO"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""A"", ""assigned_room_type"": ""K"", ""booking_changes"": ""2"", ""deposit_type"": ""No Deposit"", ""agent"": ""50"", ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient-Party"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2015-10-21""}",No guests in booking
79807,"{""hotel"": ""City Hotel"", ""is_canceled"": ""1"", ""lead_time"": ""244"", ""arrival_date_year"": ""2016"", ""arrival_date_month"": ""July"", ""arrival_date_week_number"": ""28"", ""arrival_date_day_of_month"": ""6"", ""stays_in_weekend_nights"": ""2"", ""stays_in_week_nights"": ""4"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""SC"", ""country"": ""PRT"", ""market_segment"": ""Offline TA/TO"", ""distribution_channel"": ""TA/TO"", ""is_repeated_guest"": ""1"", ""previous_cancellations"": ""1"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""E"", ""assigned_room_type"": ""E"", ""booking_changes"": ""0"", ""deposit_type"": ""No Deposit"", ""agent"": ""19"", ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Canceled"", ""reservation_status_date"": ""2015-11-05""}",No guests in booking
79808,"{""hotel"": ""City Hotel"", ""is_canceled"": ""1"", ""lead_time"": ""244"", ""arrival_date_year"": ""2016"", ""arrival_date_month"": ""July"", ""arrival_date_week_number"": ""28"", ""arrival_date_day_of_month"": ""6"", ""stays_in_weekend_nights"": ""2"", ""stays_in_week_nights"": ""4"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""SC"", ""country"": ""PRT"", ""market_segment"": ""Offline TA/TO"", ""distribution_channel"": ""TA/TO"", ""is_repeated_guest"": ""1"", ""previous_cancellations"": ""1"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""E"", ""assigned_room_type"": ""E"", ""booking_changes"": ""0"", ""deposit_type"": ""No Deposit"", ""agent"": ""19"", ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Canceled"", ""reservation_status_date"": ""2015-11-05""}",No guests in booking
80072,"{""hotel"": ""City Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""0"", ""arrival_date_year"": ""2015"", ""arrival_date_month"": ""November"", ""arrival_date_week_number"": ""46"", ""arrival_date_day_of_month"": ""11"", ""stays_in_weekend_nights"": ""0"", ""stays_in_week_nights"": ""0"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""SC"", ""country"": ""PRT"", ""market_segment"": ""Direct"", ""distribution_channel"": ""Direct"", ""is_repeated_guest"": ""1"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""D"", ""assigned_room_type"": ""D"", ""booking_changes"": ""0"", ""deposit_type"": ""No Deposit"", ""agent"": null, ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2015-11-11""}",No guests in booking
81481,"{""hotel"": ""City Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""4"", ""arrival_date_year"": ""2015"", ""arrival_date_month"": ""December"", ""arrival_date_week_number"": ""50"", ""arrival_date_day_of_month"": ""11"", ""stays_in_weekend_nights"": ""0"", ""stays_in_week_nights"": ""1"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""BB"", ""country"": ""PRT"", ""market_segment"": ""Complementary"", ""distribution_channel"": ""Direct"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""B"", ""assigned_room_type"": ""B"", ""booking_changes"": ""1"", ""deposit_type"": ""No Deposit"", ""agent"": ""45"", ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""1"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2015-12-12""}",No guests in booking
82264,"{""hotel"": ""City Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""0"", ""arrival_date_year"": ""2015"", ""arrival_date_month"": ""December"", ""arrival_date_week_number"": ""52"", ""arrival_date_day_of_month"": ""24"", ""stays_in_weekend_nights"": ""0"", ""stays_in_week_nights"": ""0"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""BB"", ""country"": ""FRA"", ""market_segment"": ""Offline TA/TO"", ""distribution_channel"": ""TA/TO"", ""is_repeated_guest"": ""1"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""D"", ""assigned_room_type"": ""K"", ""booking_changes"": ""1"", ""deposit_type"": ""No Deposit"", ""agent"": ""28"", ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2015-12-24""}",No guests in booking
82265,"{""hotel"": ""City Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""0"", ""arrival_date_year"": ""2015"", ""arrival_date_month"": ""December"", ""arrival_date_week_number"": ""52"", ""arrival_date_day_of_month"": ""24"", ""stays_in_weekend_nights"": ""0"", ""stays_in_week_nights"": ""0"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""BB"", ""country"": ""FRA"", ""market_segment"": ""Offline TA/TO"", ""distribution_channel"": ""TA/TO"", ""is_repeated_guest"": ""1"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""D"", ""assigned_room_type"": ""K"", ""booking_changes"": ""0"", ""deposit_type"": ""No Deposit"", ""agent"": ""28"", ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""1"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2015-12-24""}",No guests in booking
82266,"{""hotel"": ""City Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""0"", ""arrival_date_year"": ""2015"", ""arrival_date_month"": ""December"", ""arrival_date_week_number"": ""52"", ""arrival_date_day_of_month"": ""24"", ""stays_in_weekend_nights"": ""0"", ""stays_in_week_nights"": ""0"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""BB"", ""country"": ""ESP"", ""market_segment"": ""Offline TA/TO"", ""distribution_channel"": ""TA/TO"", ""is_repeated_guest"": ""1"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""A"", ""assigned_room_type"": ""K"", ""booking_changes"": ""0"", ""deposit_type"": ""No Deposit"", ""agent"": ""28"", ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Contract"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2015-12-24""}",No guests in booking
82267,"{""hotel"": ""City Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""0"", ""arrival_date_year"": ""2015"", ""arrival_date_month"": ""December"", ""arrival_date_week_number"": ""52"", ""arrival_date_day_of_month"": ""24"", ""stays_in_weekend_nights"": ""0"", ""stays_in_week_nights"": ""0"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""BB"", ""country"": ""FRA"", ""market_segment"": ""Offline TA/TO"", ""distribution_channel"": ""TA/TO"", ""is_repeated_guest"": ""1"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""D"", ""assigned_room_type"": ""K"", ""booking_changes"": ""0"", ""deposit_type"": ""No Deposit"", ""agent"": ""28"", ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2015-12-24""}",No guests in booking
83506,"{""hotel"": ""City Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""0"", ""arrival_date_year"": ""2016"", ""arrival_date_month"": ""February"", ""arrival_date_week_number"": ""6"", ""arrival_date_day_of_month"": ""4"", ""stays_in_weekend_nights"": ""0"", ""stays_in_week_nights"": ""1"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""BB"", ""country"": ""PRT"", ""market_segment"": ""Complementary"", ""distribution_channel"": ""Direct"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""D"", ""assigned_room_type"": ""D"", ""booking_changes"": ""0"", ""deposit_type"": ""No Deposit"", ""agent"": ""45"", ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2016-02-05""}",No guests in booking
83810,"{""hotel"": ""City Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""0"", ""arrival_date_year"": ""2016"", ""arrival_date_month"": ""February"", ""arrival_date_week_number"": ""7"", ""arrival_date_day_of_month"": ""11"", ""stays_in_weekend_nights"": ""0"", ""stays_in_week_nights"": ""2"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""BB"", ""country"": ""ESP"", ""market_segment"": ""Direct"", ""distribution_channel"": ""Direct"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""A"", ""assigned_room_type"": ""D"", ""booking_changes"": ""4"", ""deposit_type"": ""No Deposit"", ""agent"": null, ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2016-02-13""}",No guests in booking
84198,"{""hotel"": ""City Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""19"", ""arrival_date_year"": ""2016"", ""arrival_date_month"": ""February"", ""arrival_date_week_number"": ""8"", ""arrival_date_day_of_month"": ""14"", ""stays_in_weekend_nights"": ""3"", ""stays_in_week_nights"": ""5"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""BB"", ""country"": ""GBR"", ""market_segment"": ""Online TA"", ""distribution_channel"": ""TA/TO"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""A"", ""assigned_room_type"": ""D"", ""booking_changes"": ""1"", ""deposit_type"": ""No Deposit"", ""agent"": ""9"", ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""1"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2016-02-22""}",No guests in booking
85490,"{""hotel"": ""City Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""0"", ""arrival_date_year"": ""2016"", ""arrival_date_month"": ""March"", ""arrival_date_week_number"": ""12"", ""arrival_date_day_of_month"": ""16"", ""stays_in_weekend_nights"": ""0"", ""stays_in_week_nights"": ""0"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""BB"", ""country"": ""PRT"", ""market_segment"": ""Direct"", ""distribution_channel"": ""Direct"", ""is_repeated_guest"": ""1"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""A"", ""assigned_room_type"": ""A"", ""booking_changes"": ""0"", ""deposit_type"": ""No Deposit"", ""agent"": null, ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2016-03-16""}",No guests in booking
